name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
unicode/codepoints/letters-one,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4382592,4,5.77s,938.34ms,12.05ms,938.94ms,14.91ms,919.03ms,0.96s
unicode/codepoints/letters-alt,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4382592,4,5.77s,945.95ms,4.59ms,948.18ms,8.06ms,939.91ms,0.96s
unicode/codepoints/letters-lower-or-upper,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4382592,359,4.56s,8.34ms,100.90us,8.38ms,167.60us,8.02ms,8.97ms
unicode/codepoints/contiguous-greek,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4382592,371,4.56s,8.06ms,64.85us,8.09ms,129.17us,7.92ms,8.96ms
unicode/compile/one-letter,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,7551,4.51s,351.57us,11.14us,365.25us,34.16us,325.07us,712.51us
unicode/compile/fifty-letters,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,167,4.56s,16.83ms,511.70us,17.00ms,890.07us,15.74ms,20.63ms
unicode/compile/fifty-letters-ascii,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,35757,4.57s,25.81us,1.58us,29.87us,19.45us,23.51us,3.32ms
unicode/compile/match-every-line,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,18584,4.57s,149.47us,8.48us,159.70us,25.19us,133.52us,472.57us
unicode/compile/match-every-line-ascii,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,105700,4.67s,24.77us,330.00ns,27.08us,6.39us,24.12us,218.09us
unicode/compile/negated-class-matches-codepoint,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,22768,4.57s,124.23us,9.00us,130.43us,21.79us,107.43us,1.57ms
unicode/overlapping-words/ascii,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,61436,1121,4.51s,2.64ms,42.73us,2.68ms,112.62us,2.56ms,3.40ms
unicode/overlapping-words/english,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,61436,113,4.61s,26.41ms,684.61us,26.77ms,1.48ms,25.07ms,35.84ms
unicode/overlapping-words/russian,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,61403,119,4.61s,24.40ms,1.12ms,25.24ms,2.34ms,22.49ms,31.98ms
unicode/word/boundary-any-english,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,613357,284,4.57s,10.37ms,214.88us,10.60ms,634.67us,9.99ms,13.96ms
unicode/word/boundary-any-russian,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,613423,41,4.56s,72.39ms,1.36ms,73.24ms,2.11ms,70.02ms,78.04ms
unicode/word/boundary-long-english,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,613357,2587,4.52s,1.15ms,18.20us,1.16ms,35.64us,1.12ms,1.47ms
unicode/word/boundary-long-russian,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,613423,63,4.62s,46.74ms,897.25us,47.99ms,3.23ms,43.82ms,59.79ms
unicode/word/around-holmes-english,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,613357,150994,4.73s,18.59us,390.00ns,19.74us,4.86us,18.00us,228.50us
unicode/word/around-holmes-russian,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,613423,54,4.56s,56.35ms,1.53ms,56.33ms,1.92ms,53.24ms,60.74ms
wild/bibleref/compile,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,3523,4.51s,762.66us,44.98us,791.34us,87.79us,688.45us,1.33ms
wild/bibleref/long,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,613357,2385,4.51s,1.24ms,23.67us,1.26ms,51.40us,1.21ms,2.03ms
wild/bibleref/short,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,43,1000000,5.74s,2.75us,10.00ns,2.91us,1.43us,2.71us,272.42us
wild/bibleref/line,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,613357,1489,4.52s,1.96ms,83.58us,2.01ms,188.32us,1.80ms,2.91ms
wild/caddy/caddy,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,107,1000000,2.59s,500.00ns,10.00ns,556.00ns,1.63us,480.00ns,1.47ms
wild/dot-star-capture/rust-src-tools,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,7384531,111,4.56s,27.03ms,575.98us,27.26ms,1.22ms,25.69ms,34.33ms
wild/grapheme/compile,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,3365,4.51s,818.68us,37.38us,845.69us,106.17us,755.08us,4.81ms
wild/grapheme/source-code,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,7384531,18,4.56s,166.76ms,4.93ms,167.67ms,6.35ms,159.40ms,179.72ms
wild/grapheme/codepoints,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4382592,108,4.56s,27.35ms,0.96ms,28.02ms,2.27ms,25.69ms,38.91ms
wild/parol-veryl/ascii,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,150600,55,4.56s,54.43ms,404.08us,54.72ms,1.01ms,52.95ms,58.22ms
wild/parol-veryl/unicode,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,150600,50,4.56s,58.94ms,919.28us,60.50ms,4.43ms,56.69ms,75.07ms
wild/parol-veryl/multi-patternid-ascii,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,150600,684,4.52s,4.26ms,110.51us,4.39ms,495.27us,4.00ms,7.53ms
wild/parol-veryl/multi-captures-ascii,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,150600,185,4.56s,16.03ms,540.83us,16.27ms,0.98ms,14.91ms,20.60ms
wild/ruff/whitespace-around-keywords,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,32514526,13,4.66s,232.30ms,7.29ms,232.29ms,9.83ms,219.23ms,256.17ms
wild/ruff/noqa,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,32514526,67,4.61s,43.98ms,806.93us,44.81ms,2.24ms,42.49ms,55.20ms
wild/ruff/unnecessary-coding-comment,grep,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,32514526,66,4.66s,44.77ms,1.19ms,46.11ms,4.28ms,42.30ms,65.57ms
wild/ruff/string-quote-prefix,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,32514526,79,4.61s,37.44ms,775.53us,38.27ms,2.74ms,35.74ms,50.03ms
wild/ruff/space-around-operator,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,32514526,19,4.76s,157.54ms,3.01ms,158.16ms,4.65ms,151.93ms,170.03ms
wild/ruff/shebang,grep-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,32514526,41,4.61s,72.70ms,1.05ms,73.33ms,2.31ms,69.62ms,82.10ms
wild/rustsec-cargo-audit/original-unix,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,5266960,7371,4.57s,385.98us,23.73us,406.75us,91.12us,351.16us,4.64ms
wild/rustsec-cargo-audit/original-windows,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,4644864,8160,4.57s,353.25us,15.72us,367.46us,41.21us,331.39us,911.49us
wild/rustsec-cargo-audit/both-slashes,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,5266960,7578,4.56s,375.63us,16.84us,395.66us,52.65us,351.69us,735.04us
wild/rustsec-cargo-audit/both-alternate,count-captures,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,5266960,7491,4.56s,383.81us,19.97us,400.28us,49.30us,351.55us,787.27us
wild/url/compile,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,337,4.52s,8.20ms,312.00us,8.41ms,750.26us,7.31ms,12.10ms
wild/url/search,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,7384531,14,4.56s,211.79ms,2.81ms,214.37ms,6.35ms,208.16ms,229.28ms
