name,model,rebar_version,engine,engine_version,err,haystack_len,iters,total,median,mad,mean,stddev,min,max
quickjs/literal-holmes,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,594933,97857,4.67s,28.19us,750.00ns,30.50us,6.94us,26.71us,443.10us
quickjs/literal-holmes,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,594933,97437,4.67s,28.44us,860.00ns,30.65us,6.88us,27.24us,313.22us
quickjs/literal-holmes,count,0.1.0 (rev 8e952148cc),quickjs/c-engine,0.1.0,,594933,22,4.71s,136.38ms,1.79ms,138.35ms,6.81ms,132.69ms,167.02ms
quickjs/literal-holmes,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,594933,92764,4.63s,29.49us,870.00ns,32.19us,7.49us,28.19us,273.95us
quickjs/literal-the,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,594933,10482,4.56s,277.01us,4.90us,286.05us,22.72us,269.25us,725.86us
quickjs/literal-the,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,594933,10257,4.56s,285.40us,9.12us,292.32us,22.90us,273.07us,1.01ms
quickjs/literal-the,count,0.1.0 (rev 8e952148cc),quickjs/c-engine,0.1.0,,594933,23,4.66s,131.24ms,1.96ms,131.35ms,2.32ms,128.21ms,136.38ms
quickjs/literal-the,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,594933,9363,4.56s,308.21us,9.39us,320.23us,30.60us,294.60us,646.97us
quickjs/class-digits,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,594933,183823,4.78s,14.60us,170.00ns,16.20us,4.57us,14.19us,254.94us
quickjs/class-digits,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,594933,191108,4.79s,14.47us,80.00ns,15.58us,4.05us,14.16us,253.54us
quickjs/class-digits,count,0.1.0 (rev 8e952148cc),quickjs/c-engine,0.1.0,,594933,23,4.76s,135.18ms,1.17ms,135.70ms,2.29ms,131.68ms,141.61ms
quickjs/class-digits,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,594933,77235,4.62s,35.50us,840.00ns,38.69us,8.34us,34.15us,282.64us
quickjs/class-capital-word,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,594933,3805,4.53s,746.25us,26.56us,788.32us,149.22us,701.34us,7.66ms
quickjs/class-capital-word,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,594933,4211,4.51s,700.75us,18.93us,712.28us,48.31us,657.96us,2.12ms
quickjs/class-capital-word,count,0.1.0 (rev 8e952148cc),quickjs/c-engine,0.1.0,,594933,23,4.71s,133.34ms,0.99ms,134.31ms,4.02ms,129.49ms,148.33ms
quickjs/class-capital-word,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,594933,1865,4.51s,1.58ms,26.47us,1.61ms,68.60us,1.53ms,2.10ms
quickjs/suffix-ing,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,594933,13887,4.56s,200.12us,4.05us,215.85us,30.55us,194.62us,718.86us
quickjs/suffix-ing,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,594933,14085,4.57s,199.24us,5.12us,212.82us,28.59us,192.35us,494.82us
quickjs/suffix-ing,count,0.1.0 (rev 8e952148cc),quickjs/c-engine,0.1.0,,594933,7,4.86s,436.11ms,7.96ms,438.07ms,8.01ms,428.14ms,449.55ms
quickjs/suffix-ing,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,594933,7956,4.56s,362.28us,10.45us,376.90us,37.77us,346.90us,687.92us
quickjs/alternation-names,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,594933,71157,4.62s,38.02us,1.86us,41.99us,9.34us,34.79us,281.82us
quickjs/alternation-names,count,0.1.0 (rev 8e952148cc),quickjs/c-engine,0.1.0,,594933,11,4.76s,289.51ms,4.79ms,291.65ms,7.23ms,281.57ms,306.55ms
quickjs/alternation-names,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,594933,42592,4.58s,65.21us,1.02us,70.24us,11.11us,63.83us,263.09us
quickjs/dotstar-quotes,count,0.1.0 (rev 8e952148cc),quickjs/hybrid,0.1.0,,594933,33617,4.57s,85.71us,830.00ns,89.04us,19.41us,83.40us,3.04ms
quickjs/dotstar-quotes,count,0.1.0 (rev 8e952148cc),quickjs/pure-rust,0.1.0,,594933,32775,4.57s,87.38us,920.00ns,91.33us,10.49us,85.34us,318.63us
quickjs/dotstar-quotes,count,0.1.0 (rev 8e952148cc),quickjs/c-engine,0.1.0,,594933,25,4.61s,117.64ms,903.03us,120.01ms,5.09ms,115.47ms,139.02ms
quickjs/dotstar-quotes,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,594933,14060,4.56s,201.25us,2.92us,213.20us,23.21us,196.72us,521.01us
reported/i1095-word-repetition/unicode-compile,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,30,4.66s,91.33ms,3.73ms,93.64ms,7.47ms,85.41ms,112.98ms
reported/i1095-word-repetition/unicode-search,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,512,1585,4.61s,1.83ms,63.25us,1.89ms,275.69us,1.71ms,10.83ms
reported/i1095-word-repetition/ascii-compile,compile,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,,3050,4.51s,110.33us,7.88us,115.64us,18.46us,98.89us,328.19us
reported/i1095-word-repetition/ascii-search,count-spans,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,256,1000000,3.64s,1.03us,10.00ns,1.08us,869.00ns,1.00us,174.88us
reported/i13-subset-regex/original-ascii,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,16013977,500,4.56s,5.97ms,195.69us,6.00ms,334.18us,5.42ms,7.71ms
reported/i13-subset-regex/original-unicode,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,16013977,24,4.66s,126.25ms,2.43ms,127.57ms,6.73ms,120.21ms,154.71ms
reported/i13-subset-regex/big-ascii,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,16013977,7,5.01s,492.63ms,5.79ms,491.51ms,5.97ms,484.26ms,501.04ms
reported/i13-subset-regex/big-unicode,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,16013977,2,7.82s,2.76s,29.39ms,2.76s,29.39ms,2.73s,2.79s
reported/i13-subset-regex/huge-ascii,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,16013977,1,6.27s,3.04s,0.00ns,3.04s,0.00ns,3.04s,3.04s
reported/i13-subset-regex/huge-unicode,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,16013977,1,6.27s,3.09s,0.00ns,3.09s,0.00ns,3.09s,3.09s
reported/i13-subset-regex/huge-ascii-nosuffixlit,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,16013977,1,6.22s,3.05s,0.00ns,3.05s,0.00ns,3.05s,3.05s
reported/i13-subset-regex/huge-unicode-nosuffixlit,count,0.1.0 (rev 8e952148cc),rust/regex,1.12.2,,16013977,1,6.32s,3.12s,0.00ns,3.12s,0.00ns,3.12s,3.12s
